id_ticket,id_movimiento,folio,codigo_verificacion,firma,generado_por,fecha_generacion,comentario
30,4417,TK-2026-4417,M4MI-MJO0-QNJG-R8QK,M4MImjO0QnJGR8QkpCfAmAm4TST55KRsGHHs8Zsp0-o,111113612603105,2026-07-15 16:59:50,
31,4419,TK-2026-4419,TZ2I-HO8O-LCSR-QFTU,T_z2IhO8OlcSrQ-F_tUynXuv0IM8NZu1K5IHMbR5UXM,111113612603105,2026-07-15 18:13:47,
32,4420,TK-2026-4420,Q0ZF-21KN-IB1R-LSCT,q0ZF21kNIb1rlsctHm2gbPM8rWukuS3-hphSpLMr3Aw,111113612603105,2026-07-15 18:13:47,
33,4421,TK-2026-4421,CS05-US8E-J5EO-VTJV,Cs05Us8Ej5eo_VtJv59IhLnoetjgt9zVth31Uu9Kzso,111113612603105,2026-07-15 18:13:48,
34,4422,TK-2026-4422,KTXF-19UL-3OEY-VUVY,KTxF19Ul-3oEyvUVyPIvhhMI6DQmfd7-kbzHz6yZHh8,111113612603105,2026-07-15 18:13:49,
35,4423,TK-2026-4423,YIPI-ZOBO-F7OK-GWNN,yiPIzobOF7OKGWnNV11EwuFMmgUq11yIOpgTsu0pMqw,111113612603105,2026-07-15 18:13:49,
36,4429,TK-2026-4429,LDDU-IWDX-6FGG-PWR7,LddUI-wDX6Fggpwr7KhtPwmXbbbtI5D43bJhhvAGa3M,111113612603105,2026-07-15 18:31:57,
37,4430,TK-2026-4430,WRAM-0UCR-UVAL-NUFA,wraM0UcRu-vALnUfaqQmrA5WKOVykRLE5lNgft5U1lk,111113612603105,2026-07-15 18:58:54,
38,4432,TK-2026-4432,VDQU-NGWR-04IR-LG5C,vdqUNGWr04IRlg5cRObl7cpdRaTzARdPGv26_EoEuzM,111113612603105,2026-07-15 19:25:10,
39,4435,TK-2026-4435,R6JP-NGBQ-M5JX-SPU1,R6jpn_GBQM5Jxspu183-KFj1MSPBBmv3aEUQz8t_GKM,111113612603105,2026-07-15 19:25:27,
40,4439,TK-2026-4439,B8DF-2DOI-DCIR-O5QZ,B8DF2dOIdCIRO5qZCvkPAt2EOpLf5fVtM_btypyzClo,111113612603105,2026-07-15 19:34:38,
41,4441,TK-2026-4441,O1ZA-DNWU-JUQS-SJBU,O1ZAdNwUj__uQssJbuUyhIH3U0vtOBFPpN4ittP-zFI,111113612603105,2026-07-15 19:42:52,
42,4445,TK-2026-4445,MVPI-G463-GHTT-QA9J,mVPIg463ghTtqa9jRen6ATLZffdQmTBhEmLH33_pHbs,111113612603105,2026-07-21 15:36:45,
43,4446,TK-2026-4446,W8MY-BIEJ-XPKN-XR0N,w8Mybiej_xPknxr0N9HCDCpvAReI0X-yf9AunArRg5o,111113612603105,2026-07-21 15:36:46,
44,4449,TK-2026-4449,R4JU-BNXH-NGLZ-2PBO,r4juBNXHnGLz2pbopWzorQEoUdTZvqfV_1WIkyy6Khc,111113612603105,2026-07-21 16:08:02,
45,4450,TK-2026-4450,XRYR-98VC-K03Z-HUTN,xrYr98VCK03zHUTNMtAGaZp_c28tG7en9_7CD-Ll72E,111113612603105,2026-07-21 16:08:02,
46,4451,TK-2026-4451,QGFU-YHEA-Q3UR-IFDO,qGFUyhEaq3uRi-fDowY0M3nEruAET3v51UQBeg5Pccw,111113612603105,2026-07-21 16:08:03,
47,4455,TK-2026-4455,B2LH-HA1R-WKTH-ELOO,b2LhhA1rWkTHeLOOv1Tsxlw_al_Bj6axb3HMHl9k3uA,111113612603105,2026-07-21 16:43:31,
48,4456,TK-2026-4456,9UCU-D39F-FSCQ-R7XF,9ucUD39FFsCQ_R7XfEUKmEC4XjuB9okWK-0zjWlXfao,111113612603105,2026-07-21 16:43:31,
49,4457,TK-2026-4457,Z2MN-LTUT-C3IV-IDRX,z2MNLtUTC3IVIdrxEgnFOzqG9M86PX6eJheDyJkTxqg,111113612603105,2026-07-21 16:43:31,
50,4458,TK-2026-4458,YEZM-ESWP-IJCK-MTPO,YezMeSwpIJCKmtpoWC4DuMDSvnStLgxrF7VBwghnkSc,111113612603105,2026-07-21 16:43:32,
51,4459,TK-2026-4459,CBE3-OZFE-M4JA-SEHK,CBe3OzFeM4jASeHKECRu_HJ_b0RdVSKD_iuVINGzLmo,111113612603105,2026-07-21 16:43:33,
52,4460,TK-2026-4460,LM64-P0D6-NJGB-X4ND,lm64p0D6njGbX4nDrlZyGm5bElTYKshEcDjp9n-40GI,111113612603105,2026-07-21 16:43:34,
53,4461,TK-2026-4461,HKDC-1D98-GYJ6-DS6D,hkDc_1D98gYJ6DS6dqhWnjS2IA9O-GT9AMte4b5FgOI,111113612603105,2026-07-21 16:43:34,
54,4469,TK-2026-4469,ZP6J-0CVA-VKTO-IAJO,zp6j0CVaVKT-OIaJoaasTpLi1NjOHgLYByz0mk4TqcI,111113612603105,2026-07-21 16:50:15,
55,4471,TK-2026-4471,0LZT-ISTM-PPX6-LZY1,0lZTisTMpPx6l-zy1wkCBm4Kv8oiIOm5uhZe1p6GOug,111113612603105,2026-07-21 17:05:15,
56,4472,TK-2026-4472,DXNA-KMTN-ROXE-IGNP,DxnakmTnroX-EIgnpiOavtWJOJI9go90MvGrBRgAtAE,111113612603105,2026-07-21 17:09:17,
