id_notificacion_sistema,titulo,modulo,tipo_error,mensaje,detalles,fecha_creacion,resuelto,fecha_resolucion,id_usuario_resolvio
46,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 595ms,[object Object],2026-03-29 00:00:00,1,,
47,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 747ms,[object Object],2026-03-29 01:00:00,1,,
48,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 585ms,[object Object],2026-03-29 15:00:00,1,,
49,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 436ms,[object Object],2026-03-29 16:00:00,1,,
50,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 533ms,[object Object],2026-03-29 17:00:00,1,,
51,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 883ms,[object Object],2026-03-29 18:00:01,1,,
52,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 532ms,[object Object],2026-03-29 19:00:00,1,,
53,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 662ms,[object Object],2026-03-29 20:00:00,1,,
54,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 589ms,[object Object],2026-03-29 21:00:00,1,,
55,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 484ms,[object Object],2026-03-29 22:00:00,1,,
56,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 733ms,[object Object],2026-03-29 23:00:00,1,,
57,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 498ms,[object Object],2026-03-30 00:00:00,1,,
58,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 624ms,[object Object],2026-03-30 01:00:00,1,,
59,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 560ms,[object Object],2026-03-30 15:00:01,1,,
60,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 532ms,[object Object],2026-03-30 16:00:01,1,,
61,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 445ms,[object Object],2026-03-30 17:00:00,1,,
62,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 473ms,[object Object],2026-03-30 18:00:00,1,,
63,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 639ms,[object Object],2026-03-30 19:00:00,1,,
64,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 737ms,[object Object],2026-03-30 20:00:00,1,,
65,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 585ms,[object Object],2026-03-30 21:00:00,1,,
66,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 479ms,[object Object],2026-03-30 22:00:00,1,,
67,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 596ms,[object Object],2026-03-30 23:00:00,1,,
68,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 686ms,[object Object],2026-03-31 00:00:01,1,,
69,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 880ms,[object Object],2026-03-31 01:00:00,1,,
70,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 536ms,[object Object],2026-03-31 15:00:00,1,,
71,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 526ms,[object Object],2026-03-31 16:00:00,1,,
72,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 594ms,[object Object],2026-03-31 17:00:00,1,,
73,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 610ms,[object Object],2026-03-31 18:00:01,1,,
74,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 707ms,[object Object],2026-03-31 19:00:00,1,,
75,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 630ms,[object Object],2026-03-31 20:00:00,1,,
76,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 691ms,[object Object],2026-03-31 20:10:42,1,,
77,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 562ms,[object Object],2026-03-31 21:00:00,1,,
78,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 598ms,[object Object],2026-03-31 22:00:01,1,,
79,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 515ms,[object Object],2026-03-31 23:00:00,1,,
80,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 519ms,[object Object],2026-04-01 00:00:01,1,,
81,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 888ms,[object Object],2026-04-01 01:00:00,1,,
82,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 523ms,[object Object],2026-04-01 13:42:30,1,,
83,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 481ms,[object Object],2026-04-01 13:54:49,1,,
84,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 463ms,[object Object],2026-04-01 15:00:00,1,,
