id_linea_credito,nombre_linea,id_sucursal,id_creador,fecha_creacion,fecha_actualizacion,estatus
5,Eshlider,1111,1111111111111111,2025-09-19 23:00:03,2025-09-19 23:00:03,Activo
6,Foxi,1111,1111111111111111,2025-09-19 23:01:25,2025-09-19 23:01:25,Activo
7,Comadre FOOAX,1111,111113612004634,2026-03-26 16:56:28,2026-03-26 16:56:28,Activo
8,FOOAX VELOCITY,1111,111113612004634,2026-05-29 15:29:54,2026-05-29 16:06:48,Activo
9,FOOAX MAGNUS,1111,111113612004634,2026-05-29 15:29:55,2026-05-29 16:06:49,Activo
