id_alerta_procedida,codigo_alerta,severidad,mensaje,detalle,contexto,id_movimiento,id_ahorro,id_cliente,id_prestamo,id_usuario,fecha_evento,fecha_movimiento_referencia,ip_origen
197,LOAN_NOT_RELEASED,warning,El préstamo #2030 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4400,88,11112819235,2030,111113612603105,2026-07-06 19:54:26,2026-07-06,84.17.44.225
198,LOAN_NOT_RELEASED,warning,El préstamo #2003 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4401,91,11112842761,2003,111113612603105,2026-07-06 19:54:26,2026-07-06,84.17.44.225
199,LOAN_NOT_RELEASED,warning,El préstamo #2003 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4401,91,11112842761,2003,111113612603105,2026-07-06 20:20:36,2026-07-06,84.17.44.225
200,LOAN_NOT_RELEASED,warning,El préstamo #2030 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4400,88,11112819235,2030,111113612603105,2026-07-06 20:20:47,2026-07-06,84.17.44.225
201,LOAN_NOT_RELEASED,warning,El préstamo #2039 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4397,179,11113271100,2039,111113612603105,2026-07-06 20:20:58,2026-07-06,84.17.44.225
202,SALIDA_PRESTAMO_DESALINEADO,warning,El préstamo vinculado (#2041) no coincide con el vigente en esa fecha (#1510).,[object Object],confirmacion_movimiento,4395,169,11112828093,2041,111113612603105,2026-07-06 20:21:12,2026-06-07,84.17.44.225
203,LOAN_NOT_RELEASED,warning,El préstamo #2041 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4395,169,11112828093,2041,111113612603105,2026-07-06 20:21:12,2026-06-07,84.17.44.225
204,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,4393,296,11112778298,,111113612603105,2026-07-06 20:21:22,2026-07-06,84.17.44.225
205,LOAN_NOT_RELEASED,warning,El préstamo #2045 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4391,84,11112935138,2045,111113612603105,2026-07-06 20:21:34,2026-07-06,84.17.44.225
206,LOAN_NOT_RELEASED,warning,El préstamo #2036 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4386,149,11112872200,2036,111113612603105,2026-07-06 20:21:43,2026-07-06,84.17.44.225
207,LOAN_NOT_RELEASED,warning,El préstamo #1814 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4385,147,11113207666,1814,111113612603105,2026-07-06 20:21:56,2026-07-06,84.17.44.225
208,LOAN_NOT_RELEASED,warning,El préstamo #2026 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4382,41,11113008354,2026,111113612603105,2026-07-06 20:22:05,2026-07-06,84.17.44.225
209,LOAN_NOT_RELEASED,warning,El préstamo #1313 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4380,361,11113188998,1313,111113612603105,2026-07-06 20:22:15,2026-07-06,84.17.44.225
210,LOAN_NOT_RELEASED,warning,El préstamo #2032 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4379,381,11113028141,2032,111113612603105,2026-07-06 20:22:24,2026-07-06,84.17.44.225
211,LOAN_NOT_RELEASED,warning,El préstamo #2017 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4407,230,11112893766,2017,111113612603105,2026-07-15 16:16:45,2026-07-15,84.17.44.229
212,LOAN_NOT_RELEASED,warning,El préstamo #2018 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4408,423,11113037690,2018,111113612603105,2026-07-15 16:16:45,2026-07-15,84.17.44.229
213,LOAN_NOT_RELEASED,warning,El préstamo #1276 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4409,397,11112958035,1276,111113612603105,2026-07-15 16:16:45,2026-07-15,84.17.44.229
214,LOAN_NOT_RELEASED,warning,El préstamo #2058 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4410,233,11113139475,2058,111113612603105,2026-07-15 16:16:45,2026-07-15,84.17.44.229
215,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],creacion_deposito,,161,11112822564,,111113612603105,2026-07-15 16:23:51,2026-07-15,84.17.44.229
216,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,4412,161,11112822564,,111113612603105,2026-07-15 16:28:19,2026-07-15,84.17.44.229
217,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],creacion_deposito,,10,11113008579,,111113612603105,2026-07-15 16:40:59,2026-07-15,84.17.44.229
218,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,4415,10,11113008579,,111113612603105,2026-07-15 16:51:39,2026-07-15,84.17.44.229
219,LOAN_NOT_RELEASED,warning,El préstamo #2053 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4416,20,11113232046,2053,111113612603105,2026-07-15 16:51:39,2026-07-15,84.17.44.229
220,LOAN_NOT_RELEASED,warning,El préstamo #2070 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4418,252,11113209269,2070,111113612603105,2026-07-15 17:02:52,2026-07-15,84.17.44.228
221,LOAN_NOT_RELEASED,warning,El préstamo #1496 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4424,199,11112902202,1496,111113612603105,2026-07-15 18:19:56,2026-07-15,84.17.44.229
222,LOAN_NOT_RELEASED,warning,El préstamo #2075 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4425,292,11112939631,2075,111113612603105,2026-07-15 18:19:56,2026-07-15,84.17.44.229
223,LOAN_NOT_RELEASED,warning,El préstamo #1440 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4426,197,11112971667,1440,111113612603105,2026-07-15 18:19:56,2026-07-15,84.17.44.229
224,LOAN_NOT_RELEASED,warning,El préstamo #2011 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4427,190,11112924530,2011,111113612603105,2026-07-15 18:19:56,2026-07-15,84.17.44.229
225,LOAN_NOT_RELEASED,warning,El préstamo #1438 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4428,192,11112773739,1438,111113612603105,2026-07-15 18:19:56,2026-07-15,84.17.44.229
226,LOAN_NOT_RELEASED,warning,El préstamo #2021 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4431,164,11113045113,2021,111113612603105,2026-07-15 19:10:30,2026-07-15,84.17.44.226
227,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],creacion_deposito,,474,11112954121,,111113612603105,2026-07-15 19:25:27,2026-07-15,84.17.44.226
228,DEPOSITO_SIN_PRESTAMO,warning,El cliente no tiene un préstamo activo en la fecha del depósito.,[object Object],creacion_deposito,,474,11112954121,,111113612603105,2026-07-15 19:28:24,2026-07-15,84.17.44.226
229,LOAN_NOT_RELEASED,warning,El préstamo #2057 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4437,426,11112897851,2057,111113612603105,2026-07-15 19:29:09,2026-07-15,84.17.44.226
