id_archivo,url,nombre_archivo,tipo,origen,tamano_bytes,estatus,id_usuario,fecha_generacion,metadata
21,/pagares/centers/28,pagare_CAPORALES.pdf,PDF,PAGARE_CENTER,,Generado,111113612004634,2026-04-07 22:12:08,[object Object]
22,https://fooaxstorage.sfo3.digitaloceanspaces.com/Creditos/pagare_centro/111113612004634_20260408224510_614.pdf,Creditos/pagare_centro/111113612004634_20260408224510_614.pdf,PAGARE_CENTRO,CREDITOS,71705,Generado,111113612004634,2026-04-08 22:45:11,[object Object]
23,/pagares/centers/47,pagare_GHANIMA.pdf,PDF,PAGARE_CENTER,,Generado,111113612004634,2026-04-08 22:45:11,[object Object]
24,https://fooaxstorage.sfo3.digitaloceanspaces.com/Creditos/pagare_centro/111113612004634_20260408224551_263.pdf,Creditos/pagare_centro/111113612004634_20260408224551_263.pdf,PAGARE_CENTRO,CREDITOS,73065,Generado,111113612004634,2026-04-08 22:45:51,[object Object]
25,/pagares/centers/54,pagare_BARCHIEL.pdf,PDF,PAGARE_CENTER,,Generado,111113612004634,2026-04-08 22:45:51,[object Object]
26,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_individual/111113612004634_20260409201753_775.pdf,Prestamos/pagare_individual/111113612004634_20260409201753_775.pdf,PAGARE_INDIVIDUAL,PRESTAMOS,70350,Generado,111113612004634,2026-04-09 20:17:54,[object Object]
27,/pagares/loans/1674,pagare_prestamo_1674.pdf,PDF,PAGARE_LOAN,,Generado,111113612004634,2026-04-09 20:17:54,[object Object]
28,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_individual/111113612004634_20260409204832_552.pdf,Prestamos/pagare_individual/111113612004634_20260409204832_552.pdf,PAGARE_INDIVIDUAL,PRESTAMOS,70388,Generado,111113612004634,2026-04-09 20:48:32,[object Object]
29,/pagares/loans/1676,pagare_prestamo_1676.pdf,PDF,PAGARE_LOAN,,Generado,111113612004634,2026-04-09 20:48:32,[object Object]
30,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260409211305_108.pdf,Prestamos/pagare_grupal/111113612004634_20260409211305_108.pdf,PAGARE_GRUPAL,PRESTAMOS,70210,Generado,111113612004634,2026-04-09 21:13:05,[object Object]
31,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260409213127_203.pdf,Prestamos/pagare_grupal/111113612004634_20260409213127_203.pdf,PAGARE_GRUPAL,PRESTAMOS,70167,Generado,111113612004634,2026-04-09 21:31:27,[object Object]
32,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_individual/111113612004634_20260410185524_52.pdf,Prestamos/pagare_individual/111113612004634_20260410185524_52.pdf,PAGARE_INDIVIDUAL,PRESTAMOS,70578,Generado,111113612004634,2026-04-10 18:55:24,[object Object]
33,/pagares/loans/1680,pagare_prestamo_1680.pdf,PDF,PAGARE_LOAN,,Generado,111113612004634,2026-04-10 18:55:24,[object Object]
34,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260410201656_992.pdf,Prestamos/pagare_grupal/111113612004634_20260410201656_992.pdf,PAGARE_GRUPAL,PRESTAMOS,70245,Generado,111113612004634,2026-04-10 20:16:56,[object Object]
35,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260410202940_423.pdf,Prestamos/pagare_grupal/111113612004634_20260410202940_423.pdf,PAGARE_GRUPAL,PRESTAMOS,70242,Generado,111113612004634,2026-04-10 20:29:41,[object Object]
36,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260410221036_363.pdf,Prestamos/pagare_grupal/111113612004634_20260410221036_363.pdf,PAGARE_GRUPAL,PRESTAMOS,71568,Generado,111113612004634,2026-04-10 22:10:36,[object Object]
37,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260410222821_24.pdf,Prestamos/pagare_grupal/111113612004634_20260410222821_24.pdf,PAGARE_GRUPAL,PRESTAMOS,70223,Generado,111113612004634,2026-04-10 22:28:21,[object Object]
38,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260410225112_409.pdf,Prestamos/pagare_grupal/111113612004634_20260410225112_409.pdf,PAGARE_GRUPAL,PRESTAMOS,70266,Generado,111113612004634,2026-04-10 22:51:12,[object Object]
39,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260410225544_741.pdf,Prestamos/pagare_grupal/111113612004634_20260410225544_741.pdf,PAGARE_GRUPAL,PRESTAMOS,70222,Generado,111113612004634,2026-04-10 22:55:44,[object Object]
40,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260410233514_610.pdf,Prestamos/pagare_grupal/111113612004634_20260410233514_610.pdf,PAGARE_GRUPAL,PRESTAMOS,70215,Generado,111113612004634,2026-04-10 23:35:14,[object Object]
41,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260410235858_318.pdf,Prestamos/pagare_grupal/111113612004634_20260410235858_318.pdf,PAGARE_GRUPAL,PRESTAMOS,70274,Generado,111113612004634,2026-04-10 23:58:58,[object Object]
